Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,115.800003,116.330002,114.760002,116.150002,112.140007,28781900
2017-01-04,115.849998,116.510002,115.750000,116.019997,112.014503,21118100
2017-01-05,115.919998,116.860001,115.809998,116.610001,112.584129,22193600
2017-01-06,116.779999,118.160004,116.470001,117.910004,113.839249,31751900
2017-01-09,117.949997,119.430000,117.940002,118.989998,114.881950,33561900
2017-01-10,118.769997,119.379997,118.300003,119.110001,114.997818,24462100
2017-01-11,118.739998,119.930000,118.599998,119.750000,115.615723,27588600
2017-01-12,118.900002,119.300003,118.209999,119.250000,115.132988,27086200
2017-01-13,119.110001,119.620003,118.809998,119.040001,114.930237,26111900
2017-01-17,118.339996,120.239998,118.220001,120.000000,115.857086,34439800
2017-01-18,120.000000,120.500000,119.709999,119.989998,115.847435,23713000
2017-01-19,119.400002,120.089996,119.370003,119.779999,115.644691,25597300
2017-01-20,120.449997,120.449997,119.730003,120.000000,115.857086,32597900
2017-01-23,120.000000,120.809998,119.769997,120.080002,115.934326,22050200
2017-01-24,119.550003,120.099998,119.500000,119.970001,115.828125,23211000
2017-01-25,120.419998,122.099998,120.279999,121.879997,117.672188,32377600
2017-01-26,121.669998,122.440002,121.599998,121.940002,117.730118,26337600
2017-01-27,122.139999,122.349998,121.599998,121.949997,117.739769,20562900
2017-01-30,120.930000,121.629997,120.660004,121.629997,117.430817,30377500
2017-01-31,121.150002,121.389999,120.620003,121.349998,117.160492,49201000
2017-02-01,127.029999,130.490005,127.010002,128.750000,124.305000,111985000
2017-02-02,127.980003,129.389999,127.779999,128.529999,124.092606,33710400
2017-02-03,128.309998,129.190002,128.160004,129.080002,124.623619,24507300
2017-02-06,129.130005,130.500000,128.899994,130.289993,125.791840,26845900
2017-02-07,130.539993,132.089996,130.449997,131.529999,126.989029,38183800
2017-02-08,131.350006,132.220001,131.220001,132.039993,127.481415,23004100
2017-02-09,131.649994,132.449997,131.119995,132.419998,128.402603,28349900
2017-02-10,132.460007,132.940002,132.050003,132.119995,128.111710,20065500
2017-02-13,133.080002,133.820007,132.750000,133.289993,129.246201,23035400
2017-02-14,133.470001,135.089996,133.250000,135.020004,130.923721,33226200
2017-02-15,135.520004,136.270004,134.619995,135.509995,131.398834,35623100
2017-02-16,135.669998,135.899994,134.839996,135.350006,131.243729,22584600
2017-02-17,135.100006,135.830002,135.100006,135.720001,131.602493,22198200
2017-02-21,136.229996,136.750000,135.979996,136.699997,132.552750,24507200
2017-02-22,136.429993,137.119995,136.110001,137.110001,132.950317,20836900
2017-02-23,137.380005,137.479996,136.300003,136.529999,132.387909,20788200
2017-02-24,135.910004,136.660004,135.279999,136.660004,132.513962,21776600
2017-02-27,137.139999,137.440002,136.279999,136.929993,132.775772,20257400
2017-02-28,137.080002,137.440002,136.699997,136.990005,132.833969,23482900
2017-03-01,137.889999,140.149994,137.600006,139.789993,135.548996,36414600
2017-03-02,140.000000,140.279999,138.759995,138.960007,134.744186,26211000
2017-03-03,138.779999,139.830002,138.589996,139.779999,135.539307,21108100
