Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,170.160004,172.300003,169.259995,172.259995,168.987320,25555900
2018-01-03,172.529999,174.550003,171.960007,172.229996,168.957886,29517900
2018-01-04,172.539993,173.470001,172.080002,173.029999,169.742706,22434600
2018-01-05,173.440002,175.369995,173.050003,175.000000,171.675278,23660000
2018-01-08,174.350006,175.610001,173.929993,174.350006,171.037628,20567800
2018-01-09,174.550003,175.059998,173.410004,174.330002,171.018005,21584000
2018-01-10,173.160004,174.300003,173.000000,174.289993,170.978760,23959900
2018-01-11,174.589996,175.490005,174.490005,175.279999,171.949951,18667700
2018-01-12,176.179993,177.360001,175.649994,177.089996,173.725571,25226000
2018-01-16,177.899994,179.389999,176.139999,176.190002,172.842682,29565900
2018-01-17,176.149994,179.250000,175.070007,179.100006,175.697388,34386800
2018-01-18,179.369995,180.100006,178.250000,179.259995,175.854340,31193400
2018-01-19,178.610001,179.580002,177.410004,178.460007,175.069550,32425100
2018-01-22,177.300003,177.779999,176.600006,177.000000,173.637283,27108600
2018-01-23,177.300003,179.440002,176.820007,177.039993,173.676514,32689100
2018-01-24,177.250000,177.300003,173.199997,174.220001,170.910080,51105100
2018-01-25,174.509995,174.949997,170.529999,171.110001,167.859161,41529000
2018-01-26,172.000000,172.000000,170.059998,171.509995,168.251556,39143000
2018-01-29,170.160004,170.160004,167.070007,167.960007,164.769012,50640400
2018-01-30,165.529999,167.369995,164.699997,166.970001,163.797836,46048200
2018-01-31,166.869995,168.440002,166.500000,167.429993,164.249084,32478900
2018-02-01,167.169998,168.619995,166.759995,167.779999,164.592438,47230800
2018-02-02,166.000000,166.800003,160.100006,160.500000,157.450745,86593800
2018-02-05,159.100006,163.880005,156.000000,156.490005,153.516953,72738500
2018-02-06,154.830002,163.720001,154.000000,163.029999,159.932663,68243800
2018-02-07,163.089996,163.399994,159.070007,159.539993,156.508972,51608600
2018-02-08,160.289993,161.000000,155.029999,155.149994,152.202393,54390500
2018-02-09,157.070007,157.889999,150.240005,156.410004,154.064056,70672600
2018-02-12,158.500000,163.889999,157.509995,162.710007,160.269562,60819500
2018-02-13,161.949997,164.750000,161.649994,164.339996,161.875107,32549200
2018-02-14,163.039993,167.539993,162.880005,167.369995,164.859650,40644900
2018-02-15,169.789993,173.089996,169.000000,172.990005,170.395370,51147200
2018-02-16,172.360001,174.820007,171.770004,172.429993,169.843765,40176100
2018-02-20,172.050003,174.259995,171.419998,171.850006,169.272461,33930500
2018-02-21,172.830002,174.119995,171.009995,171.070007,168.504166,37471600
2018-02-22,171.800003,173.949997,171.710007,172.500000,169.912704,30991900
2018-02-23,173.669998,175.649994,173.539993,175.500000,172.867706,33812400
2018-02-26,176.350006,179.389999,176.210007,178.970001,176.285675,38162200
2018-02-27,179.100006,180.479996,178.160004,178.389999,175.714386,38928100
2018-02-28,179.259995,180.619995,178.050003,178.119995,175.448410,37782100
2018-03-01,178.539993,179.779999,172.660004,175.000000,172.375214,48802000
2018-03-02,172.800003,176.300003,172.449997,176.210007,173.567078,38454000
2018-03-05,175.210007,177.740005,174.520004,176.820007,174.167923,28401400
2018-03-06,177.910004,178.250000,176.130005,176.669998,174.020172,23788500
2018-03-07,174.940002,175.850006,174.270004,175.029999,172.404770,31703500
2018-03-08,175.479996,177.119995,175.070007,176.940002,174.286118,23774100
2018-03-09,177.960007,180.000000,177.389999,179.979996,177.280518,32185200
2018-03-12,180.289993,182.389999,180.210007,181.720001,178.994415,32207100
2018-03-13,182.589996,183.500000,179.240005,179.970001,177.270660,31693500
2018-03-14,180.320007,180.520004,177.809998,178.440002,175.763611,29368400
2018-03-15,178.500000,180.240005,178.070007,178.649994,175.970459,22743800
2018-03-16,178.649994,179.119995,177.619995,178.020004,175.349915,39404700
2018-03-19,177.320007,177.470001,173.660004,175.300003,172.670731,33446800
2018-03-20,175.240005,176.800003,174.940002,175.240005,172.611618,19649400
2018-03-21,175.039993,175.089996,171.259995,171.270004,168.701157,36338100
2018-03-22,170.000000,172.679993,168.600006,168.850006,166.317459,41490800
2018-03-23,168.389999,169.919998,164.940002,164.940002,162.466095,41028800
2018-03-26,168.070007,173.100006,166.440002,172.770004,170.178680,37541200
2018-03-27,173.679993,175.149994,166.919998,168.339996,165.815109,40922600
2018-03-28,167.250000,170.020004,165.190002,166.479996,163.983002,41668500
2018-03-29,167.809998,171.750000,166.899994,167.779999,165.263504,38398500
2018-04-02,166.639999,168.940002,164.470001,166.679993,164.180008,37586800
2018-04-03,167.639999,168.750000,164.880005,168.389999,165.864349,30278000
2018-04-04,164.880005,172.009995,164.770004,171.610001,169.036072,34605500
2018-04-05,172.580002,174.229996,172.080002,172.800003,170.208206,26933200
2018-04-06,170.970001,172.479996,168.199997,168.380005,165.854523,35005300
2018-04-09,169.880005,173.089996,169.850006,170.050003,167.499466,29017700
2018-04-10,173.000000,174.000000,171.529999,173.250000,170.651459,28408600
2018-04-11,172.229996,173.919998,171.699997,172.440002,169.853622,22431600
2018-04-12,173.410004,175.000000,173.039993,174.139999,171.528107,22889300
