Date,Open,High,Low,Close,Adj Close,Volume
2018-12-19,76.019997,77.449997,74.080002,74.669998,74.292061,3585000
2018-12-20,74.279999,75.349998,73.760002,74.489998,74.112976,4242800
2018-12-21,74.169998,75.959999,72.000000,72.389999,72.023605,4942500
2018-12-24,71.279999,72.889999,70.750000,70.779999,70.421753,1749800
2018-12-26,71.050003,74.410004,69.900002,74.410004,74.033386,3156200
2018-12-27,73.110001,74.989998,72.080002,74.989998,74.610443,3261300
2018-12-28,75.440002,75.989998,74.230003,74.660004,74.282120,2481000
2018-12-31,74.989998,75.699997,74.379997,75.589996,75.207405,2542900
2019-01-02,74.489998,77.360001,74.389999,77.260002,76.868958,3290800
2019-01-03,76.599998,77.480003,75.980003,76.160004,75.774529,3599200
2019-01-04,77.680000,79.610001,77.660004,79.540001,79.137421,2851300
2019-01-07,79.190002,80.500000,78.650002,79.980003,79.575195,2665400
2019-01-08,80.669998,81.160004,78.900002,80.019997,79.614983,3117700
2019-01-09,80.699997,80.930000,79.790001,80.570000,80.162201,1903900
2019-01-10,80.000000,80.379997,79.570000,79.949997,79.545341,3485200
2019-01-11,79.370003,81.029999,79.040001,80.940002,80.530334,1832300
2019-01-14,80.209999,81.650002,79.919998,81.400002,80.988007,2452900
2019-01-15,81.000000,81.629997,80.519997,81.519997,81.107391,2829300
2019-01-16,82.400002,84.309998,82.160004,83.620003,83.196770,3767800
2019-01-17,83.199997,84.059998,82.230003,83.650002,83.226616,2312200
2019-01-18,83.889999,85.250000,82.940002,84.970001,84.539932,2671600
2019-01-22,84.000000,84.160004,82.800003,83.400002,82.977882,4800800
2019-01-23,79.769997,80.580002,77.709999,78.199997,77.804199,8586700
2019-01-24,78.199997,80.839996,78.199997,80.180000,79.774178,5529200
2019-01-25,80.980003,81.300003,79.540001,79.620003,79.217018,3486900
2019-01-28,78.739998,79.550003,78.440002,79.480003,79.077721,3848600
2019-01-29,79.599998,80.000000,78.879997,79.559998,79.157310,2454200
2019-01-30,79.900002,81.250000,79.190002,80.879997,80.470634,2720900
2019-01-31,80.279999,80.809998,79.900002,80.589996,80.182098,3220200
2019-02-01,80.940002,81.339996,80.430000,80.879997,80.470634,2438600
2019-02-04,80.849998,81.620003,80.300003,81.389999,80.978050,3282300
2019-02-05,81.559998,81.599998,80.500000,80.860001,80.450737,2305700
2019-02-06,80.680000,81.199997,79.589996,80.139999,79.734383,3552900
2019-02-07,79.910004,80.029999,78.360001,79.029999,78.629997,3395600
2019-02-08,77.910004,78.589996,76.820000,77.830002,77.830002,3187500
2019-02-11,78.080002,78.400002,77.750000,78.040001,78.040001,2649200
2019-02-12,78.820000,80.320000,78.760002,79.790001,79.790001,2113800
2019-02-13,80.080002,80.639999,79.750000,79.989998,79.989998,1809800
2019-02-14,79.449997,80.470001,78.519997,79.610001,79.610001,2087800
2019-02-15,80.269997,81.709999,80.059998,81.570000,81.570000,2704700
2019-02-19,81.550003,82.580002,81.139999,82.199997,82.199997,2952500
2019-02-20,82.410004,82.820000,81.820000,82.720001,82.720001,2167500
2019-02-21,82.980003,82.980003,81.620003,82.070000,82.070000,1736900
2019-02-22,82.070000,82.440002,81.019997,81.199997,81.199997,2096600
2019-02-25,81.989998,82.629997,81.389999,81.419998,81.419998,2514300
2019-02-26,81.160004,81.669998,80.250000,80.900002,80.900002,2682600
2019-02-27,80.709999,82.330002,80.500000,82.260002,82.260002,2676400
2019-02-28,82.430000,83.870003,81.910004,83.580002,83.580002,4649900
2019-03-01,84.000000,85.480003,83.809998,84.260002,84.260002,3081600
2019-03-04,84.290001,84.919998,82.510002,83.309998,83.309998,2918400
2019-03-05,83.300003,83.570000,81.660004,82.970001,82.970001,1963800
2019-03-06,82.760002,83.459999,82.489998,82.510002,82.510002,1713300
2019-03-07,82.220001,82.290001,80.809998,81.279999,81.279999,3035600
2019-03-08,80.440002,81.430000,80.080002,81.370003,81.370003,2111600
2019-03-11,81.959999,83.260002,81.860001,82.849998,82.849998,2926600
2019-03-12,82.989998,84.029999,82.739998,82.949997,82.949997,2153200
2019-03-13,83.360001,84.330002,83.199997,83.739998,83.739998,1779500
2019-03-14,83.620003,83.949997,83.190002,83.209999,83.209999,1794900
2019-03-15,83.110001,84.519997,82.930000,84.330002,84.330002,2993500
2019-03-18,84.540001,85.620003,84.370003,84.900002,84.900002,2529600
2019-03-19,85.379997,85.870003,84.160004,84.410004,84.410004,2342100
2019-03-20,84.129997,84.230003,82.790001,82.949997,82.949997,2462100
2019-03-21,82.199997,83.510002,81.480003,82.889999,82.889999,2569500
2019-03-22,82.139999,82.269997,79.680000,80.000000,80.000000,3119800
2019-03-25,79.860001,80.489998,78.449997,79.360001,79.360001,2327500
2019-03-26,80.000000,80.680000,79.419998,80.660004,80.660004,1668600
2019-03-27,80.379997,80.970001,79.820000,80.070000,80.070000,1902000
2019-03-28,80.330002,81.059998,80.050003,80.959999,80.959999,1268600
2019-03-29,81.739998,82.330002,81.419998,81.690002,81.690002,2945600
2019-04-01,82.349998,84.879997,82.269997,84.480003,84.480003,3036500
2019-04-02,84.500000,85.570000,84.010002,84.680000,84.680000,2342100
2019-04-03,85.110001,86.199997,84.930000,85.309998,85.309998,2852600
2019-04-04,85.519997,86.739998,85.120003,86.699997,86.699997,2137200
2019-04-05,87.000000,87.250000,85.900002,86.540001,86.540001,1554000
2019-04-08,85.800003,86.139999,85.290001,86.040001,86.040001,2023200
2019-04-09,85.500000,85.709999,84.589996,85.099998,85.099998,1212100
2019-04-10,85.269997,85.779999,84.529999,85.629997,85.629997,1413200
2019-04-11,86.120003,86.690002,85.620003,86.250000,86.250000,1390900
2019-04-12,87.349998,88.690002,86.940002,87.830002,87.830002,1637100
2019-04-15,87.809998,87.949997,86.550003,86.879997,86.879997,1215400
2019-04-16,87.449997,88.349998,87.029999,87.910004,87.910004,1888400
2019-04-17,88.099998,88.250000,87.300003,87.919998,87.919998,2337000
2019-04-18,87.709999,88.290001,87.500000,88.110001,88.110001,1413900
2019-04-22,87.870003,88.230003,87.309998,87.610001,87.610001,1060800
2019-04-23,87.809998,88.639999,87.400002,88.190002,88.190002,1789000
2019-04-24,88.000000,88.610001,87.529999,87.790001,87.790001,1759900
2019-04-25,87.709999,88.760002,87.370003,88.050003,88.050003,2135600
2019-04-26,90.699997,94.139999,90.699997,93.730003,93.730003,4310300
2019-04-29,93.849998,94.379997,92.279999,92.379997,92.379997,2466400
2019-04-30,93.019997,93.260002,91.580002,92.830002,92.830002,2211300
2019-05-01,92.559998,93.489998,92.239998,92.580002,92.580002,2210800
2019-05-02,92.660004,93.260002,92.150002,92.919998,92.919998,2062700
2019-05-03,93.220001,94.300003,93.120003,94.260002,94.260002,1694500
2019-05-06,92.050003,94.080002,91.879997,93.610001,93.610001,2208400
2019-05-07,92.410004,92.610001,90.900002,91.599998,91.599998,1898900
